,0,1
0,-143.68228149414062,-89.5584487915039
1,-144.08230590820312,-89.25847625732422
2,-144.483642578125,-88.96025085449219
3,-144.8861541748047,-88.6635971069336
4,-145.2318572998047,-88.40408325195312
5,-145.55117797851562,-88.14111328125
6,-145.85821533203125,-87.86315155029297
7,-146.1521453857422,-87.57060241699219
8,-146.4321746826172,-87.26387786865234
9,-146.6974334716797,-86.94348907470703
10,-146.94711303710938,-86.60999298095703
11,-147.18038940429688,-86.26402282714844
12,-147.38818359375,-85.91871643066406
13,-147.571044921875,-85.56649780273438
14,-147.731201171875,-85.20250701904297
15,-147.86769104003906,-84.82817077636719
16,-147.97962951660156,-84.44502258300781
17,-148.06622314453125,-84.05469512939453
18,-148.12681579589844,-83.65888977050781
19,-148.16079711914062,-83.2594223022461
20,-148.17388916015625,-82.79429626464844
21,-148.18392944335938,-82.29438018798828
22,-148.19186401367188,-81.79443359375
23,-36.87724685668945,-2.9828319549560547
24,-37.37722396850586,-2.9779582023620605
25,-37.877201080322266,-2.9730844497680664
26,-38.377174377441406,-2.9682106971740723
27,-38.87715148925781,-2.963336944580078
28,-39.37712860107422,-2.958462953567505
29,-39.877105712890625,-2.9535892009735107
30,-40.377079010009766,-2.9487154483795166
31,-40.87705612182617,-2.9438414573669434
32,-41.37703323364258,-2.938967704772949
33,-41.877010345458984,-2.934093952178955
34,-42.376983642578125,-2.929220199584961
35,-42.87696075439453,-2.924346446990967
36,-43.37693786621094,-2.9194726943969727
37,-43.876914978027344,-2.9145989418029785
38,-44.37689208984375,-2.9097251892089844
39,-44.87686538696289,-2.9048514366149902
40,-45.3768424987793,-2.899977445602417
41,-45.8768196105957,-2.895103693008423
42,-46.37679672241211,-2.8902297019958496
43,-46.87677001953125,-2.8853559494018555
44,-47.376747131347656,-2.8804821968078613
45,-47.87672424316406,-2.875608444213867
46,-48.37670135498047,-2.870734691619873
47,-48.876678466796875,-2.865860939025879
48,-49.376651763916016,-2.8609871864318848
49,-49.87662887573242,-2.8561134338378906
50,-50.37660598754883,-2.8512396812438965
51,-50.876583099365234,-2.8463656902313232
52,-51.376556396484375,-2.841491937637329
53,-51.87653350830078,-2.836618185043335
54,-52.37651062011719,-2.8317441940307617
55,-52.876487731933594,-2.8268704414367676
56,-53.37646484375,-2.8219966888427734
57,-53.876441955566406,-2.8171229362487793
58,-54.37641525268555,-2.812249183654785
59,-54.87639236450195,-2.807375431060791
60,-36.8431282043457,0.5170018672943115
61,-37.34310531616211,0.5218756198883057
62,-37.843082427978516,0.5267494916915894
63,-38.343055725097656,0.5316232442855835
